key_id,year,trial_num,sales_rep,branch,state,zip_code,location,crop,treatment_type,growth_stage_applied,check_trt,treatment_with_rate,check_yield,trt_yield,trt_increase,pct_increase,std_dev,product_cost,application_cost,trt_cost,dollar_per_acre_increase,net_per_acre,roi,spatial_data,size,customer_info,product_1,rate_1,unit_1,product_2,rate_2,unit_2,product_3,rate_3,unit_3,product_4,rate_4,unit_4,product_5,rate_5,unit_5
,2024,,Stanislawski,Wholesale,,,,Canloa,Quickshot,Box Treatment,Untreated,Quickshot,1545,1748,,,,$4.28 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Coron,Foliar,Untreated,Coron,227.3,223.2,,,,$9.00 ,,,,,,,,,Coron,,,,,,,,,,,,,,
,2024,,Curtis,Menno,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,49.8,50.4,,,,$10.67 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,197.2,198.3,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,192.7,190.1,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Soybeans,Orbix,Foliar,Untreated,Orbix,43.8,44.5,,,,$15.69 ,,,,,,,,,Orbix,,,,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Soybeans,Orbix,Foliar,Untreated,Orbix,41.6,41.1,,,,$15.69 ,,,,,,,,,Orbix,,,,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,45,47.5,,,,$10.67 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Longtin,Clear Lake,,,,Soybeans,Resgenix,Foliar,Untreated,Resgenix,39,39.6,,,,,,,,,,,,,Resgenix,,,,,,,,,,,,,,
,2024,,Longtin,Clear Lake,,,,Corn,Coron + Hi-Phos + K Leaf,Foliar,Untreated,Coron + Hi-Phos + K Leaf,197.4,203.9,,,,$23.88 ,,,,,,,,,Coron,,,Hi-Phos,,,K Leaf,,,,,,,,
,2024,,Longtin,Clear Lake,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,60,63.1,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Longtin,Clear Lake,,,,Soybeans,Fullscale + Axilo Mix 5 + Sulfur EZ,Foliar,Untreated,Fullscale + Axilo Mix 5 + Sulfur EZ,61.6,63.1,,,,$23.56 ,,,,,,,,,Fullscale,,,Axilo Mix 5,,,Sulfur EZ,,,,,,,,
,2024,,Carter,Royalton,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,56.9,55.5,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Carter,Royalton,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,48.8,51,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Carter,Royalton,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,56.6,57.3,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Carter,Royalton,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,50.6,51.4,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Carter,Royalton,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,44.5,43.6,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Carter,Royalton,,,,Soybeans,Quickshot,Box Treatment,Untreated,Quickshot,57.8,61.6,,,,$4.28 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Chance,Canby,,,,Soybeans,Receptor,Starter,Untreated,Receptor,53.1,55.1,,,,$12.37 ,,,,,,,,,Receptor,,,,,,,,,,,,,,
,2024,,Chance,Canby,,,,Corn,Zypro,Starter,Untreated,Zypro,189.1,194.4,,,,$5.47 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Chance,Canby,,,,Corn,Zypro,Starter,Untreated,Zypro,186.6,194.5,,,,$5.47 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Chance,Canby,,,,Soybeans,Receptor,Starter,Untreated,Receptor,47.8,49.6,,,,$12.37 ,,,,,,,,,Receptor,,,,,,,,,,,,,,
,2024,,Chance,Canby,,,,Corn,Zypro,Starter,Untreated,Zypro,166.5,168.4,,,,$5.47 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Curtis,Menno,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,61.13,63,,,,$10.67 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Chance,Canby,,,,Corn,Zypro,Starter,Untreated,Zypro,174.6,192.9,,,,$5.47 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Will,Osage,,,,Soybeans,Axilo BMZ,Foliar,Untreated,Axilo BMZ,35.4,41.1,,,,,,,,,,,,,Axilo BMZ,,,,,,,,,,,,,,
,2024,,Will,Osage,,,,Soybeans,Orbix,Foliar,Untreated,Orbix,56.2,57.8,,,,$15.69 ,,,,,,,,,Orbix,,,,,,,,,,,,,,
,2024,,Will,Osage,,,,Soybeans,Odyssey,Foliar,Untreated,Odyssey,56.9,63,,,,$17.11 ,,,,,,,,,Odyssey,,,,,,,,,,,,,,
,2024,,Will,Osage,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,45,47,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Nick,Osage,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,251.1,258.6,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
